 x_m, y_m, vx_mps, ax_mps2
-2.7160955,0.690852,61.79,0.6275012
-2.5446962,2.6831914,61.79,0.6256058
-2.3732803,4.6755271,61.79,0.6237085
-2.2018406,6.667868,61.79,0.6197533
-2.0303773,8.6601991,61.79,0.6178779
-1.8588898,10.6525311,61.79,0.6160075
-1.6873786,12.644866,61.79,0.6121134
-1.5158453,14.6371902,61.79,0.6102562
-1.3442893,16.6295166,61.79,0.6084102
-1.1727112,18.6218464,61.79,0.6045754
-1.0011128,20.6141643,61.79,0.6027365
-0.8294932,22.6064853,61.79,0.6009148
-0.6578528,24.5988103,61.79,0.597138
-0.4861938,26.5911225,61.79,0.5953176
-0.314515,28.5834384,61.79,0.5935198
-0.1428169,30.575759,61.79,0.5897996
0.0288985,32.5680659,61.79,0.587998
0.2006322,34.5603771,61.7958827,0.5862238
0.372384,36.5526934,61.8148499,0.5825588
0.5441516,38.5449955,61.8336927,0.5807763
0.7159364,40.5373024,61.8524721,0.5790254
0.8877379,42.5296146,61.8711892,0.5754142
1.0595541,44.5219124,61.889784,0.573651
1.2313862,46.5142152,61.9083163,0.5719231
1.4032339,48.5065236,61.9267872,0.5683644
1.5750951,50.4988174,61.9451378,0.5666208
1.746971,52.4911164,61.9634266,0.5649155
1.9188614,54.4834213,61.981655,0.5614081
2.0907642,56.4757114,61.9997649,0.5596843
2.2626808,58.4680069,62.017814,0.5580012
2.4346108,60.4603084,62.0358035,0.5545438
2.6065521,62.4525952,62.0536765,0.55284
2.7785062,64.4448875,62.0714894,0.5511789
2.9504728,66.4371858,62.0892436,0.5477701
3.1224497,68.4294696,62.1068831,0.5460865
3.2944385,70.4217589,62.1244633,0.5444472
3.4664388,72.4140543,62.1419858,0.5410858
3.6384486,74.4063353,62.1593953,0.5394226
3.8104694,76.3986218,62.1767464,0.5378046
3.9825009,78.3909144,62.1940406,0.5344895
4.154541,80.3831928,62.2112234,0.5328468
4.3265912,82.375477,62.2283487,0.5312498
4.4986514,84.3677669,62.245418,0.5279798
4.6707195,86.3600427,62.2623776,0.526357
4.842797,88.3523249,62.2792805,0.5247799
5.0148868,90.3446123,62.2961282,0.5215528
5.1869922,92.3368902,62.3128677,0.5199526
5.3591129,94.3291712,62.3295514,0.5183974
5.5312446,96.3214471,62.3461808,0.5152153
5.7033843,98.3137246,62.3627037,0.5136347
5.8755312,100.3060003,62.3791715,0.5120985
6.0476853,102.2982745,62.3955858,0.5089578
6.2198466,104.2905501,62.4118951,0.5073974
6.3920146,106.2828241,62.4281502,0.5058808
6.5641891,108.2750965,62.4443525,0.502782
6.7363702,110.2673704,62.4604513,0.5012414
6.9085575,112.2596428,62.4764967,0.4997442
7.0807507,114.2519135,62.4924901,0.4966865
7.25295,116.2441859,62.5083816,0.4951655
7.4251549,118.2364567,62.5242204,0.4936872
7.5973652,120.228726,62.5400079,0.4906703
7.7695811,122.2209969,62.5556949,0.4891684
7.9418021,124.2132663,62.5713301,0.4877089
8.114028,126.2055342,62.5869147,0.484732
8.286259,128.1978039,62.6024003,0.483249
8.4584946,130.1900721,62.6178348,0.481808
8.6307346,132.1823387,62.6332194,0.4788707
8.8029793,134.1746072,62.6485065,0.4774061
8.9752282,136.1668742,62.6637432,0.4759834
9.1474812,138.1591397,62.6789307,0.4730851
9.3197383,140.1514071,62.6940221,0.4716387
9.4919992,142.1436731,62.7090638,0.470234
9.6642637,144.1359376,62.7240571,0.4673742
9.836532,146.1282041,62.7389556,0.4659456
10.0088037,148.1204692,62.7538051,0.4645586
10.1810787,150.1127327,62.7686069,0.4617368
10.353357,152.1049984,62.7833153,0.4603258
10.5256384,154.0972626,62.7979753,0.4589562
10.6979227,156.0895253,62.8125883,0.4561719
10.87021,158.0817902,62.8271093,0.4547781
11.0425,160.0740537,62.8415826,0.4534258
11.2147926,162.0663157,62.8560095,0.4506784
11.3870879,164.0585799,62.8703458,0.4493016
11.5593855,166.0508427,62.884635,0.4479663
11.7316853,168.0431041,62.8988784,0.4452554
11.9039876,170.0353677,62.9130325,0.4438952
12.0762919,172.0276299,62.9271402,0.4425767
12.2485981,174.0198907,62.9412029,0.4399017
12.4209065,176.0121539,62.9551774,0.438558
12.5932166,178.0044156,62.9691061,0.4372561
12.7655278,179.9966759,62.9829905,0.4346168
12.9378398,181.988938,62.996788,0.433289
13.1101522,183.9811991,63.0105403,0.4320031
13.2824657,185.9734603,63.0242489,0.4293986
13.4547806,187.9657218,63.0378718,0.4280867
13.6270967,189.957983,63.0514502,0.426817
13.799414,191.9502439,63.0649854,0.424247
13.9717325,193.942505,63.0784362,0.4229507
14.1440521,195.9347659,63.0918431,0.4216969
14.3163726,197.9270266,63.1052074,0.4191608
14.488694,199.9192874,63.1184885,0.4178799
14.6610162,201.9115481,63.1317262,0.4166417
14.8333391,203.9038086,63.144922,0.4141391
15.0056627,205.8960692,63.1580358,0.4128734
15.1779869,207.8883297,63.1711067,0.4116506
15.3503116,209.8805901,63.1841363,0.409181
15.5226367,211.8728505,63.197085,0.4079302
15.6949622,213.8651109,63.2099916,0.4067227
15.867288,215.8573712,63.2228573,0.4042855
16.0396141,217.8496316,63.2356433,0.4030495
16.2119403,219.8418919,63.2483876,0.401857
16.3842666,221.8341522,63.2610917,0.3994518
16.556593,223.8264125,63.2737172,0.3982304
16.7289193,225.8186728,63.2863016,0.3970526
16.9012455,227.8109331,63.2988463,0.394679
17.0735716,229.8031934,63.3113135,0.393472
17.2458974,231.7954538,63.3237402,0.3923089
17.418223,233.7877141,63.3361277,0.3899663
17.5905482,235.7799745,63.3484388,0.3887735
17.762873,237.772235,63.3607099,0.3876247
17.9351974,239.7644954,63.3729424,0.3853128
