x,y,l_width,r_width
-0.21361,0.45321,5,5
-0.12571,1.44933,5,5
-0.03781,2.44546,5,5
0.0501,3.44159,5,5
0.138,4.43772,5,5
0.2259,5.43385,5,5
0.3138,6.42998,5,5
0.40171,7.42611,5,5
0.48961,8.42224,5,5
0.57751,9.41837,5,5
0.66542,10.4145,5,5
0.75332,11.41062,5,5
0.84122,12.40675,5,5
0.92912,13.40288,5,5
1.01703,14.39901,5,5
1.10493,15.39514,5,5
1.19283,16.39127,5,5
1.28074,17.3874,5,5
1.36864,18.38353,5,5
1.45654,19.37966,5,5
1.54444,20.37579,5,5
1.63235,21.37192,5,5
1.72025,22.36804,5,5
1.80815,23.36417,5,5
1.89606,24.3603,5,5
1.98396,25.35643,5,5
2.07186,26.35256,5,5
2.15976,27.34869,5,5
2.24767,28.34482,5,5
2.33557,29.34095,5,5
2.42347,30.33708,5,5
2.51138,31.33321,5,5
2.59928,32.32933,5,5
2.68718,33.32546,5,5
2.77508,34.32159,5,5
2.86299,35.31772,5,5
2.95089,36.31385,5,5
3.03879,37.30998,5,5
3.1267,38.30611,5,5
3.2146,39.30224,5,5
3.3025,40.29837,5,5
3.3904,41.2945,5,5
3.47831,42.29063,5,5
3.56621,43.28675,5,5
3.65411,44.28288,5,5
3.74202,45.27901,5,5
3.82992,46.27514,5,5
3.91782,47.27127,5,5
4.00572,48.2674,5,5
4.09363,49.26353,5,5
4.18153,50.25966,5,5
4.26943,51.25579,5,5
4.35734,52.25192,5,5
4.44524,53.24805,5,5
4.53314,54.24417,5,5
4.62104,55.2403,5,5
4.70895,56.23643,5,5
4.79685,57.23256,5,5
4.88475,58.22869,5,5
4.97266,59.22482,5,5
5.06056,60.22095,5,5
5.14846,61.21708,5,5
5.23636,62.21321,5,5
5.32427,63.20934,5,5
5.41217,64.20546,5,5
5.50007,65.20159,5,5
5.58798,66.19772,5,5
5.67588,67.19385,5,5
5.76378,68.18998,5,5
5.85168,69.18611,5,5
5.93959,70.18224,5,5
6.02749,71.17837,5,5
6.11539,72.1745,5,5
6.2033,73.17063,5,5
6.2912,74.16676,5,5
6.3791,75.16288,5,5
6.467,76.15901,5,5
6.55491,77.15514,5,5
6.64281,78.15127,5,5
6.73071,79.1474,5,5
6.81861,80.14353,5,5
6.90652,81.13966,5,5
6.99442,82.13579,5,5
7.08232,83.13192,5,5
7.17023,84.12805,5,5
7.25813,85.12417,5,5
7.34603,86.1203,5,5
7.43393,87.11643,5,5
7.52184,88.11256,5,5
7.60974,89.10869,5,5
7.69764,90.10482,5,5
7.78555,91.10095,5,5
7.87345,92.09708,5,5
7.96135,93.09321,5,5
8.04925,94.08934,5,5
8.13716,95.08547,5,5
8.22506,96.08159,5,5
8.31296,97.07772,5,5
8.40087,98.07385,5,5
8.48877,99.06998,5,5
8.57667,100.06611,5,5
8.66457,101.06224,5,5
8.75248,102.05837,5,5
8.84038,103.0545,5,5
8.92828,104.05063,5,5
9.01619,105.04676,5,5
9.10409,106.04288,5,5
9.19199,107.03901,5,5
9.27989,108.03514,5,5
9.3678,109.03127,5,5
9.4557,110.0274,5,5
9.5436,111.02353,5,5
9.63151,112.01966,5,5
9.71941,113.01579,5,5
9.80731,114.01192,5,5
9.89521,115.00805,5,5
9.98312,116.00418,5,5
10.07102,117.0003,5,5
10.15892,117.99643,5,5
10.24683,118.99256,5,5
