s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.7160955; 0.6908520; -0.0858155; -0.0000014; 61.4605922; 0.6275012
1.9996994; -2.5446962; 2.6831914; -0.0858212; -0.0000043; 61.4810054; 0.6256058
3.9993987; -2.3732803; 4.6755271; -0.0858320; -0.0000059; 61.5013502; 0.6237085
5.9990981; -2.2018406; 6.6678680; -0.0858440; -0.0000061; 61.5216265; 0.6197533
7.9987974; -2.0303773; 8.6601991; -0.0858562; -0.0000060; 61.5417677; 0.6178779
9.9984968; -1.8588898; 10.6525311; -0.0858680; -0.0000059; 61.5618414; 0.6160075
11.9981961; -1.6873786; 12.6448660; -0.0858796; -0.0000057; 61.5818477; 0.6121134
13.9978955; -1.5158453; 14.6371902; -0.0858909; -0.0000056; 61.6017212; 0.6102562
15.9975948; -1.3442893; 16.6295166; -0.0859020; -0.0000055; 61.6215280; 0.6084102
17.9972942; -1.1727112; 18.6218464; -0.0859127; -0.0000053; 61.6412686; 0.6045754
19.9969935; -1.0011128; 20.6141643; -0.0859233; -0.0000052; 61.6608784; 0.6027365
21.9966929; -0.8294932; 22.6064853; -0.0859335; -0.0000051; 61.6804224; 0.6009148
23.9963922; -0.6578528; 24.5988103; -0.0859436; -0.0000049; 61.6999012; 0.5971380
25.9960916; -0.4861938; 26.5911225; -0.0859533; -0.0000048; 61.7192515; 0.5953176
27.9957909; -0.3145150; 28.5834384; -0.0859629; -0.0000047; 61.7385367; 0.5935198
29.9954903; -0.1428169; 30.5757590; -0.0859722; -0.0000046; 61.7577577; 0.5897996
31.9951896; 0.0288985; 32.5680659; -0.0859813; -0.0000045; 61.7768523; 0.5879980
33.9948890; 0.2006322; 34.5603771; -0.0859901; -0.0000044; 61.7958827; 0.5862238
35.9945883; 0.3723840; 36.5526934; -0.0859988; -0.0000043; 61.8148499; 0.5825588
37.9942877; 0.5441516; 38.5449955; -0.0860072; -0.0000042; 61.8336927; 0.5807763
39.9939870; 0.7159364; 40.5373024; -0.0860154; -0.0000041; 61.8524721; 0.5790254
41.9936864; 0.8877379; 42.5296146; -0.0860234; -0.0000040; 61.8711892; 0.5754142
43.9933857; 1.0595541; 44.5219124; -0.0860312; -0.0000039; 61.8897840; 0.5736510
45.9930851; 1.2313862; 46.5142152; -0.0860389; -0.0000038; 61.9083163; 0.5719231
47.9927844; 1.4032339; 48.5065236; -0.0860463; -0.0000037; 61.9267872; 0.5683644
49.9924838; 1.5750951; 50.4988174; -0.0860535; -0.0000036; 61.9451378; 0.5666208
51.9921831; 1.7469710; 52.4911164; -0.0860606; -0.0000035; 61.9634266; 0.5649155
53.9918825; 1.9188614; 54.4834213; -0.0860675; -0.0000034; 61.9816550; 0.5614081
55.9915818; 2.0907642; 56.4757114; -0.0860742; -0.0000033; 61.9997649; 0.5596843
57.9912812; 2.2626808; 58.4680069; -0.0860807; -0.0000032; 62.0178140; 0.5580012
59.9909805; 2.4346108; 60.4603084; -0.0860871; -0.0000031; 62.0358035; 0.5545438
61.9906799; 2.6065521; 62.4525952; -0.0860933; -0.0000031; 62.0536765; 0.5528400
63.9903792; 2.7785062; 64.4448875; -0.0860993; -0.0000030; 62.0714894; 0.5511789
65.9900786; 2.9504728; 66.4371858; -0.0861052; -0.0000029; 62.0892436; 0.5477701
67.9897779; 3.1224497; 68.4294696; -0.0861109; -0.0000028; 62.1068831; 0.5460865
69.9894773; 3.2944385; 70.4217589; -0.0861165; -0.0000027; 62.1244633; 0.5444472
71.9891766; 3.4664388; 72.4140543; -0.0861219; -0.0000027; 62.1419858; 0.5410858
73.9888760; 3.6384486; 74.4063353; -0.0861272; -0.0000026; 62.1593953; 0.5394226
75.9885753; 3.8104694; 76.3986218; -0.0861323; -0.0000025; 62.1767464; 0.5378046
77.9882747; 3.9825009; 78.3909144; -0.0861373; -0.0000025; 62.1940406; 0.5344895
79.9879740; 4.1545410; 80.3831928; -0.0861422; -0.0000024; 62.2112234; 0.5328468
81.9876734; 4.3265912; 82.3754770; -0.0861469; -0.0000023; 62.2283487; 0.5312498
83.9873727; 4.4986514; 84.3677669; -0.0861516; -0.0000023; 62.2454180; 0.5279798
85.9870721; 4.6707195; 86.3600427; -0.0861560; -0.0000022; 62.2623776; 0.5263570
87.9867714; 4.8427970; 88.3523249; -0.0861607; -0.0000029; 62.2792805; 0.5247799
89.9864708; 5.0148868; 90.3446123; -0.0861681; -0.0000045; 62.2961282; 0.5215528
91.9861701; 5.1869922; 92.3368902; -0.0861763; -0.0000037; 62.3128677; 0.5199526
93.9858695; 5.3591129; 94.3291712; -0.0861830; -0.0000028; 62.3295514; 0.5183974
95.9855688; 5.5312446; 96.3214471; -0.0861876; -0.0000018; 62.3461808; 0.5152153
97.9852682; 5.7033843; 98.3137246; -0.0861912; -0.0000018; 62.3627037; 0.5136347
99.9849675; 5.8755312; 100.3060003; -0.0861949; -0.0000018; 62.3791715; 0.5120985
101.9846669; 6.0476853; 102.2982745; -0.0861985; -0.0000017; 62.3955858; 0.5089578
103.9843662; 6.2198466; 104.2905501; -0.0862020; -0.0000017; 62.4118951; 0.5073974
105.9840656; 6.3920146; 106.2828241; -0.0862053; -0.0000017; 62.4281502; 0.5058808
107.9837649; 6.5641891; 108.2750965; -0.0862086; -0.0000016; 62.4443525; 0.5027820
109.9834643; 6.7363702; 110.2673704; -0.0862118; -0.0000016; 62.4604513; 0.5012414
111.9831636; 6.9085575; 112.2596428; -0.0862149; -0.0000015; 62.4764967; 0.4997442
113.9828630; 7.0807507; 114.2519135; -0.0862179; -0.0000015; 62.4924901; 0.4966865
115.9825623; 7.2529500; 116.2441859; -0.0862208; -0.0000014; 62.5083816; 0.4951655
117.9822617; 7.4251549; 118.2364567; -0.0862236; -0.0000014; 62.5242204; 0.4936872
119.9819610; 7.5973652; 120.2287260; -0.0862263; -0.0000013; 62.5400079; 0.4906703
